id,E,N
1,332492.542915,184281.398766
2,332507.036771,184261.579485
3,332521.530739,184241.76017
4,332538.044497,184225.839193
5,332554.558358,184209.918221
6,332568.134265,184195.017684
7,332583.690729,184181.07211
8,332602.146187,184163.162669
9,332618.686555,184149.204031
10,332635.200914,184133.283091
11,332652.620818,184111.462096
12,332668.112548,184092.610724
13,332685.610972,184076.676703
14,332700.158309,184060.781897
15,332716.660173,184043.879778
