id,E,N
1,331124.87998,182538.051611
2,331239.027723,182536.501767
3,331349.292538,182538.933677
4,331439.823455,182537.708285
5,331549.981984,182532.292808
6,331652.268432,182526.985871
7,331774.288593,182525.341921
8,331876.680692,182527.891327
9,331986.944798,182530.337185
10,332101.092262,182528.806832
11,332207.472535,182535.236076
12,332309.863943,182537.794232
13,332412.202842,182536.428583
14,332502.785705,182539.148095
15,332601.188434,182537.838674
16,332695.707204,182540.509288
