id,E,N
1,332820.186908,184950.174145
2,332840.984744,184960.691277
3,332857.80926,184968.317615
4,332879.51251,184972.935814
5,332895.353372,184980.575287
6,332913.200269,184991.131733
7,332934.981295,185001.636116
8,332955.778682,185012.153586
9,332975.579456,185021.703139
10,332996.402629,185034.182703
11,333016.229159,185045.694337
12,333035.072062,185057.219024
