id,E,N
1,331894.898764,184029.345009
2,331930.049679,184009.2454
3,331969.135854,183989.093119
4,331999.460776,183975.928235
5,332021.929003,183963.850287
6,332052.267351,183951.66686
7,332079.641417,183938.541955
8,332109.901142,183920.471617
9,332141.157989,183903.369427
10,332163.639991,183892.27316
11,332191.00152,183878.167508
12,332219.3601,183865.030018
13,332244.741255,183849.969696
14,332267.184352,183835.930132
15,332284.74803,183824.900029
