id,E,N
1,332908.4914,184561.4245
2,332928.0991,184556.2586
3,332951.6285,184550.0596
4,332978.0958,184542.8405
5,333002.6348,184538.5909
6,333026.1773,184533.3733
7,333048.7361,184528.1688
8,333072.2786,184522.9514
9,333097.8015,184518.6892
10,333124.2821,184512.452
