id,E,N
0,331385.470285,183390.889728
1,331436.573057,183386.553165
2,331483.997535,183380.444406
3,331533.273609,183376.133513
4,331582.549756,183371.823097
5,331633.652845,183367.48851
6,331682.978283,183366.823294
7,331732.230062,183360.692213
8,331783.333358,183356.35913
9,331834.461237,183353.848668
10,331887.416006,183351.314142
11,331942.148732,183345.111391
12,331989.622997,183342.651543
13,332033.370212,183334.774775
